ICD10,ICD9
F458,3068
F458,3067
A1802,71148
F458,30659
T426X1A,E8528
T426X2A,E9502
T426X3A,E9620
T426X4A,E9502
Z09,V679
Z1389,V8289
A1801,72081
A1802,158
F458,30653
H4050X2,36572
H4050X3,36573
H4050X4,36574
H4051X2,36572
H4051X3,36573
H4051X4,36574
H4052X2,36572
H4052X3,36573
H4052X4,36574
H4053X2,36572
H4053X3,36573
H4053X4,36574
T426X1A,9678
T426X2A,9678
T426X3A,9678
T426X4A,9678
Z09,V676
Z1389,V826
C969,20298
A1801,15
A1802,71146
F0390,2909
F458,30652
H4050X2,36564
H4050X3,36564
H4050X4,36564
H4051X2,36564
H4051X3,36564
H4051X4,36564
H4052X2,36564
H4052X3,36564
H4052X4,36564
H4053X2,36564
H4053X3,36564
H4053X4,36564
H832X9,38658
S2241XA,80709
S2241XB,80719
S2242XA,80709
S2242XB,80719
S2243XA,80709
S2243XB,80719
T426X1A,E8588
T426X2A,E9504
T426X4A,E9804
Z09,V6759
Z1389,V824
Z387,V372
C969,20297
A1801,73088
A1802,152
F0390,2908
F458,3065
H4050X2,36561
H4050X3,36561
H4050X4,36561
H4051X2,36561
H4051X3,36561
H4051X4,36561
H4052X2,36561
H4052X3,36561
H4052X4,36561
H4053X2,36561
H4053X3,36561
H4053X4,36561
H832X9,38656
K640,4558
K641,4558
K642,4558
K643,4558
S09391A,87274
S09392A,87274
S09399A,87274
S2241XA,80708
S2241XB,80718
S2242XA,80708
S2242XB,80718
S2243XA,80708
S2243XB,80718
T426X1A,9676
T426X2A,9676
T426X3A,9676
T426X4A,9676
Z09,V6751
Z118,V758
Z1389,V820
Z387,V371
Z388,V3701
C969,20296
A1802,71145
A1884,4258
F0390,29021
F458,3064
H4050X2,3656
H4050X3,3656
H4050X4,3656
H4051X2,3656
H4051X3,3656
H4051X4,3656
H4052X2,3656
H4052X3,3656
H4052X4,3656
H4053X2,3656
H4053X3,3656
H4053X4,3656
H8301,38635
H8302,38635
H8303,38635
H8309,38635
H832X9,38655
H900,38908
H9011,38908
H9012,38908
K640,4557
K641,4557
K642,4557
K643,4557
O9089,67904
Q383,75019
S09301A,87274
S09302A,87274
S09311A,87274
S09312A,87274
S09313A,87274
S09319A,87274
S09391A,87273
S09392A,87273
S09399A,87273
S2241XA,80707
S2241XB,80717
S2242XA,80707
S2242XB,80717
S2243XA,80707
S2243XB,80717
S471XXA,9279
S472XXA,9279
T2171XA,94252
T426X1A,9675
T426X2A,9675
T426X3A,9675
T426X4A,9675
T458X5A,E9348
T458X5S,E9348
Z08,V679
Z09,V674
Z1159,V7389
Z116,V757
Z118,V754
Z1389,V816
Z384,V332
Z387,V362
Z388,V3700
C969,20295
A1801,71148
A1802,151
A1852,37031
A1884,42491
A5203,9324
A5215,3574
E1340,3572
E1349,34989
F0390,29013
F18120,30593
F458,3063
H4050X0,3657
H4050X1,36571
H4050X2,36559
H4050X3,36559
H4050X4,36559
H4051X0,3657
H4051X1,36571
H4051X2,36559
H4051X3,36559
H4051X4,36559
H4052X0,3657
H4052X1,36571
H4052X2,36559
H4052X3,36559
H4052X4,36559
H4053X0,3657
H4053X1,36571
H4053X2,36559
H4053X3,36559
H4053X4,36559
H4060X2,36572
H4060X3,36573
H4060X4,36574
H4061X2,36572
H4061X3,36573
H4061X4,36574
H4062X2,36572
H4062X3,36573
H4062X4,36574
H4063X2,36572
H4063X3,36573
H4063X4,36574
H65111,38106
H65112,38106
H65113,38106
H65114,38106
H65115,38106
H65116,38106
H65117,38106
H65119,38106
H7401,38509
H7402,38509
H7403,38509
H7409,38509
H7411,38519
H7412,38519
H7413,38519
H8101,38604
H8102,38604
H8103,38604
H8109,38604
H8301,38634
H8302,38634
H8303,38634
H8309,38634
H8311,38648
H8312,38648
H8313,38648
H8319,38648
H832X1,38658
H832X2,38658
H832X3,38658
H832X9,38654
H900,38906
H9011,38905
H9012,38905
K640,4556
K641,4556
K642,4556
K643,4556
M01X0,7118
M01X11,71181
M01X12,71181
M01X19,71181
M01X21,71182
M01X22,71182
M01X29,71182
M01X31,71183
M01X32,71183
M01X39,71183
M01X41,71184
M01X42,71184
M01X49,71184
M01X51,71185
M01X52,71185
M01X59,71185
M01X61,71186
M01X62,71186
M01X69,71186
M01X71,71187
M01X72,71187
M01X79,71187
M01X8,71188
M01X9,71189
N9489,62989
O30101,V9110
O30102,V9110
O30103,V9110
O30201,V9120
O30202,V9120
O30203,V9120
O30801,V9190
O30802,V9190
O30803,V9190
O357XX0,67914
O357XX1,67914
O357XX2,67914
O357XX3,67914
O357XX4,67914
O357XX5,67914
O357XX9,67914
O717,66574
O9089,67484
Q150,74344
Q383,75016
Q740,75559
S01532A,87365
S01542A,87375
S01552A,87365
S09301A,87273
S09302A,87273
S09311A,87273
S09312A,87273
S09313A,87273
S09319A,87273
S09391A,87272
S09392A,87272
S09399A,87272
S2241XA,80706
S2241XB,80716
S2242XA,80706
S2242XB,80716
S2243XA,80706
S2243XB,80716
S35291A,90229
S35292A,90229
S35298A,90229
S471XXA,9278
S472XXA,9278
T2171XA,94251
T426X1A,9674
T426X2A,9674
T426X3A,9674
T426X4A,9674
T458X5A,99529
T458X5S,9095
Z08,V676
Z09,V673
Z1159,V735
Z116,V756
Z118,V750
Z13228,V7799
Z1389,V815
Z384,V331
Z387,V361
Z388,V3601
C969,20294
A1781,135
A1802,159
A1803,73088
A1852,173
A1884,422
A5149,9189
A5203,9323
A5215,9489
A5423,9834
E13311,36207
E13321,36207
E13331,36207
E13341,36207
E13351,36207
E1340,2506
E1341,3559
E1342,3572
E1343,5363
E1344,3535
E1349,2506
E1352,7854
F0390,29011
F1010,30503
F10120,30503
F10129,30503
F10220,30303
F10229,30303
F1110,30553
F11120,30553
F11129,30553
F1210,30523
F1310,30543
F13120,30543
F1410,30563
F14120,30563
F1510,30573
F15120,30573
F1610,30533
F16120,30533
F1810,30593
F18120,30592
F1910,30583
F19120,30583
F458,3062
F550,30593
F551,30593
F552,30593
F553,30593
F554,30593
F558,30593
F938,31389
G4730,78057
H4050X0,36564
H4050X1,36564
H4051X0,36564
H4051X1,36564
H4052X0,36564
H4052X1,36564
H4053X0,36564
H4053X1,36564
H4060X2,36532
H4060X3,36532
H4060X4,36532
H4061X2,36532
H4061X3,36532
H4061X4,36532
H4062X2,36532
H4062X3,36532
H4062X4,36532
H4063X2,36532
H4063X3,36532
H4063X4,36532
H65111,38105
H65112,38105
H65113,38105
H65114,38105
H65115,38105
H65116,38105
H65117,38105
H65119,38105
H7401,38503
H7402,38503
H7403,38503
H7409,38503
H7411,38513
H7412,38513
H7413,38513
H8101,38603
H8102,38603
H8103,38603
H8109,38603
H8301,38633
H8302,38633
H8303,38633
H8309,38633
H8311,38643
H8312,38643
H8313,38643
H8319,38643
H832X1,38655
H832X2,38655
H832X3,38656
H832X9,38653
H900,38904
H9011,38904
H9012,38904
H903,38918
H9041,38917
H9042,38917
I080,3963
K640,4555
K641,4555
K642,4555
K643,4555
K648,4558
L03019,6819
L03119,6827
L03129,6827
L8940,7072
L8941,70721
L8942,70722
L8943,70723
L8944,70724
L8945,70725
M01X0,7117
M01X11,71171
M01X12,71171
M01X19,71171
M01X21,71172
M01X22,71172
M01X29,71172
M01X31,71173
M01X32,71173
M01X39,71173
M01X41,71174
M01X42,71174
M01X49,71174
M01X51,71175
M01X52,71175
M01X59,71175
M01X61,71176
M01X62,71176
M01X69,71176
M01X71,71177
M01X72,71177
M01X79,71177
M01X8,71178
M01X9,71179
M438X9,7379
M8440XD,V5429
M869,73098
M961,72283
N139,5929
N508,60889
N898,6238
N9489,6291
O111,64273
O112,64273
O113,64273
O1201,64614
O1202,64614
O1203,64614
O1221,64623
O1222,64623
O1223,64623
O131,64234
O132,64234
O133,64234
O1412,64254
O1413,64254
O1422,64254
O1423,64254
O152,64274
O2211,67114
O2212,67114
O2213,67114
O2651,66924
O2652,66924
O2653,66924
O26841,64964
O26842,64964
O26843,64964
O26893,67903
O30101,65113
O30102,65113
O30103,65113
O30201,65123
O30202,65123
O30203,65123
O30801,65183
O30802,65183
O30803,65183
O3111X0,65163
O3111X1,65163
O3111X2,65163
O3112X0,65163
O3112X1,65163
O3112X2,65163
O3113X0,65163
O3113X1,65163
O3113X2,65163
O3121X0,65163
O3121X1,65163
O3121X2,65163
O3122X0,65163
O3122X1,65163
O3122X2,65163
O3123X0,65163
O3123X1,65163
O3123X2,65163
O3401,65404
O3402,65404
O3403,65404
O3411,65414
O3412,65414
O3413,65414
O3431,65454
O3432,65454
O3433,65454
O3441,65464
O3442,65464
O3443,65464
O34511,65434
O34512,65434
O34513,65434
O34531,65434
O34532,65434
O34533,65434
O34591,65444
O34592,65444
O34593,65444
O3461,65474
O3462,65474
O3463,65474
O3471,65484
O3472,65484
O3473,65484
O3481,65494
O3482,65494
O3483,65494
O3491,65494
O3492,65494
O3493,65494
O357XX0,67913
O357XX1,67913
O357XX2,67913
O357XX3,67913
O357XX4,67913
O357XX5,67913
O357XX9,67913
O717,66572
O7589,66984
O759,66994
O9089,67482
Q150,74322
Q383,75013
Q384,75024
Q6689,75567
Q7270,75569
Q740,75557
Q7649,75619
Q798,7569
S01532A,87364
S01542A,87374
S01552A,87364
S09301A,87272
S09302A,87272
S09311A,87272
S09312A,87272
S09313A,87272
S09319A,87272
S09391A,87269
S09392A,87269
S09399A,87269
S15019A,90003
S15029A,90003
S15099A,90003
S2241XA,80705
S2241XB,80715
S2242XA,80705
S2242XB,80715
S2243XA,80705
S2243XB,80715
S35291A,90223
S35292A,90223
S35298A,90223
S36899A,86809
S41009A,884
S41029A,8841
S4380XA,8406
S4381XA,8406
S4382XA,8406
S471XXA,92703
S472XXA,92703
S7720XA,9299
T1580XA,E914
T1581XA,E914
T1582XA,E914
T2131XA,94242
T2171XA,94242
T410X1A,E8551
T422X1A,E8558
T422X2A,E9504
T422X3A,E9620
T422X4A,E9804
T422X5A,E9360
T422X5S,E9360
T426X1A,9673
T426X2A,9673
T426X3A,9673
T426X4A,9673
T426X5A,E9378
T426X5S,E9378
T4271XA,E8528
T4272XA,E9503
T4273XA,E9620
T4274XA,E9804
T4275XA,E9379
T4275XS,E9379
T457X2A,E9504
T457X3A,E9620
T458X1A,E8582
T458X2A,E9504
T458X3A,E9620
T458X4A,E9804
T458X5A,E9338
T458X5S,E9338
T4591XA,E8582
T4592XA,E9504
T4593XA,E9620
T4594XA,E9804
T4595XA,E9349
T48201A,E8586
T48291A,E8586
T502X1A,E8585
T502X2A,E9504
T502X3A,E9620
T502X4A,E9804
T507X1A,E8543
T507X2A,E9504
T507X3A,E9620
T507X4A,E9804
T507X5A,E9401
T507X5S,E9401
Z08,V6759
Z09,V672
Z1159,V734
Z116,V755
Z118,V748
Z13228,V777
Z1389,V799
Z1629,V096
Z2089,V0189
Z381,V392
Z384,V322
Z3861,V3700
Z3862,V3701
Z3863,V3700
Z3864,V3701
Z3865,V3700
Z3866,V3701
Z3868,V3700
Z3869,V3701
Z387,V352
Z388,V3600
B551,854
B760,1268
C969,20293
D45,2384
E08311,36207
E09311,36207
A048,849
A078,1365
A155,123
A1781,134
A1801,7374
A1803,157
A1814,6014
A1851,37909
A1852,37059
A1853,36313
A1854,36411
A1884,420
A202,205
A221,4845
A3689,3289
A403,99591
A5143,9152
A5149,917
A5203,9322
A5215,9486
A5219,9489
A5423,9833
A5483,9885
E11311,36207
E11321,36207
E11331,36207
E11341,36207
E11351,36207
E1140,3572
E1149,34989
E1152,7854
E13311,36201
E13319,36201
E13321,36204
E13329,36204
E13331,36205
E13339,36205
E13341,36206
E13349,36206
E13351,36202
E13359,36202
E1336,36641
E1340,2496
E1341,2506
E1342,2506
E1343,2506
E1344,2506
E1349,2496
E1351,44381
E1352,44381
E13610,7135
E13618,7168
E13630,5238
E230,6281
E35,2598
F0390,2901
F1010,30502
F10120,30502
F10129,30502
F1020,30392
F10220,30302
F10229,30302
F1110,30552
F11120,30552
F11129,30552
F1120,30402
F1210,30522
F1220,30432
F1310,30542
F13120,30542
F1320,30412
F1410,30562
F14120,30562
F1420,30422
F1510,30572
F15120,30572
F1520,30442
F1610,30532
F16120,30532
F1620,30452
F1810,30592
F18120,30591
F1910,30582
F19120,30582
F1920,30462
F22,2972
F23,2988
F458,3061
F489,V409
F550,30592
F551,30592
F552,30592
F553,30592
F554,30592
F558,30592
F909,3149
F938,31382
G02,3218
G40101,3458
G40109,3458
G40111,34581
G40119,34581
G450,4353
G4730,78053
G600,3562
G92,34982
G9731,99812
G9732,99812
G9782,99709
H3589,36289
H4010X2,36572
H4010X3,36573
H4010X4,36574
H4011X2,36572
H4011X3,36573
H4011X4,36574
H4020X2,36572
H4020X3,36573
H4020X4,36574
H402212,36572
H402213,36573
H402214,36574
H402222,36572
H402223,36573
H402224,36574
H402232,36572
H402233,36573
H402234,36574
H402292,36572
H402293,36573
H402294,36574
H4030X2,36572
H4030X3,36573
H4030X4,36574
H4031X2,36572
H4031X3,36573
H4031X4,36574
H4032X2,36572
H4032X3,36573
H4032X4,36574
H4033X2,36572
H4033X3,36573
H4033X4,36574
H4040X2,36572
H4040X3,36573
H4040X4,36574
H4041X2,36572
H4041X3,36573
H4041X4,36574
H4042X2,36572
